Experiment,Reference,Apparatus,Pressure_kbar,Pressure_error,Temperature_degC,Phases,SiO2,TiO2,Al2O3,Cr2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,H2O,Total
Fe,ToplisCarroll1995,1atm_furnace,0.001,0.00001,1134,gl - ol - pl,49.2,3.8,12.32,,14.79,,5.46,10.9,2.7,0.43,,,99.6
Fe,ToplisCarroll1995,1atm_furnace,0.001,0.00001,1125,gl - ol - cp - pl,49,4.1,11.82,,15.18,,5.18,10.9,2.6,0.47,,,99.25
Fe,ToplisCarroll1995,1atm_furnace,0.001,0.00001,1125,gl - ol - cp - pl,48.6,4.35,11.82,,15.06,,5.03,10.6,2.63,0.47,,,98.56
Fe,ToplisCarroll1995,1atm_furnace,0.001,0.00001,1115,gl - ol - cp - pl,49,4.62,11.68,,15.74,,4.69,9.71,2.79,0.58,,,98.81
Fe,ToplisCarroll1995,1atm_furnace,0.001,0.00001,1115,gl - ol - cp - pl,48.3,4.45,11.58,,16.03,,4.71,8.8,2.73,0.53,,,97.13
Fe,ToplisCarroll1995,1atm_furnace,0.001,0.00001,1105,gl - ol - cp - pl,48.7,5.1,11.15,,16.3,,4.23,9.3,2.9,0.57,,,98.25
Fe,ToplisCarroll1995,1atm_furnace,0.001,0.00001,1147,gl - ol - pl,48.3,3.2,13.3,,13.69,,6,10.7,2.71,0.37,,,98.27
Fe,ToplisCarroll1995,1atm_furnace,0.001,0.00001,1126,gl - ol - cp - pl,48.4,4.4,12.12,,14.87,,4.93,10.8,2.66,0.59,,,98.77
Fe,ToplisCarroll1995,1atm_furnace,0.001,0.00001,1110,gl - ol - cp - pl,48.07,5.16,11.23,,16.33,,4.27,9.93,2.78,0.62,,,98.39
B1,Berndt2005,IHPV,2.06,0.02,1150,gl - ol - cp - pl,50.91,0.92,16.79,,8.04,0.15,7.74,12.78,2.47,0.1,0.1,0.38,100.38
B1,Berndt2005,IHPV,2.04,0.02,1100,gl - ol - cp - pl,51.26,1.19,17.52,,9.2,0.19,5.63,12.03,2.7,0.11,0.16,0.85,100.84
FG1-Am,Thy2006,1atm_furnace,0.001,0.00001,1182,gl,48.73,2.18,14.15,,12.87,0.22,7.07,11.58,1.89,0.71,0.19,,99.59
FG1-Am,Thy2006,1atm_furnace,0.001,0.00001,1173,gl - ol - pl,48.49,2.33,13.72,,13.71,0.24,6.65,11.74,1.92,0.75,0.2,,99.75
FG1-Am,Thy2006,1atm_furnace,0.001,0.00001,1163,gl - ol - cp - pl,48.57,2.41,13.51,,14,0.25,6.39,11.52,1.92,0.81,0.21,,99.59
FG1-Am,Thy2006,1atm_furnace,0.001,0.00001,1154,gl - ol - cp - pl,48.13,2.63,13.01,,14.48,0.24,5.95,11.12,1.92,0.83,0.24,,98.55
