Experiment,Reference,Pressure_kbar,Pressure_error,Temperature_degC,Phases,SiO2,TiO2,Al2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,H2O,Cr2O3,Total,Alk Line,Sub line,Alkalinity (S),Alkalinity (A),Na2O+K2O
6-C-15,"Gee, L.L., Sack, R.O. (1988)",0.001,,1080.2,gl-ol-cp-sp-Lc-Nph,44.65,1.7,19.45,6.073748,0.19,4,8.31,6.83,6.92,1.6,,,99.85,1.92,1.2071,-12.5429,-11.83,13.75
7-A-3,"Gee, L.L., Sack, R.O. (1988)",0.001,,1072.1,gl-cp-sp-Lc-Nph,43.59,1.67,19.29,5.677756,0.26,3.45,7.82,7.49,6.48,1.63,,0.03,97.51,1.072,0.66226,-13.30774,-12.898,13.97
7-A-4,"Gee, L.L., Sack, R.O. (1988)",0.001,,1072.1,gl-ol-cp-sp-Lc-Nph,45.27,1.71,19.14,5.638738,0.25,3.39,7.19,8.12,7.01,1.5,,,99.35,2.416,1.52578,-13.60422,-12.714,15.13
7-C-12,"Gee, L.L., Sack, R.O. (1988)",0.001,,1072.1,gl-cp-sp-Lc-Nph,43.33,2.69,19.66,5.673748,0.2,3.02,8.67,6.7,7.26,1.75,,0.03,99.11,0.864,0.52862,-13.43138,-13.096,13.96
7-C-13,"Gee, L.L., Sack, R.O. (1988)",0.001,,1072.1,gl-cp-sp-Lc-Nph,43.71,2.44,18.89,6.531704,0.24,2.45,9.33,6.5,6.9,1.77,,0.04,98.95,1.168,0.72394,-12.67606,-12.232,13.4
11-A-2,"Gee, L.L., Sack, R.O. (1988)",0.001,,1091.9,gl-ol-sp-Lc,41.75,2.05,18.94,9.152646,0.18,4.09,9.57,6.31,5.99,1.05,,0.04,99.3,-0.4,-0.2835,-12.5835,-12.7,12.3
11-A-3,"Gee, L.L., Sack, R.O. (1988)",0.001,,1091.9,gl-ol-sp-Lc,40.91,1.91,18.33,8.963648,0.23,4.33,10.93,6.11,6.06,1.03,,0.08,99.06,-1.072,-0.71526,-12.88526,-13.242,12.17
11-A-5,"Gee, L.L., Sack, R.O. (1988)",0.001,,1091.9,gl-ol-sp-Me,39.84,1.75,17.21,9.796614,0.37,4.76,13.7,5.28,4.93,1.11,,,98.94,-1.928,-1.26524,-11.47524,-12.138,10.21
11-B-7,"Gee, L.L., Sack, R.O. (1988)",0.001,,1091.9,gl-ol-sp-Me,37.76,2.65,15.53,10.836574,0.64,5.37,15.74,4.49,3.81,1.84,,,98.88,-3.592,-2.33436,-10.63436,-11.892,8.3
11-B-9,"Gee, L.L., Sack, R.O. (1988)",0.001,,1091.9,gl-ol-sp-Lc,41.15,2.07,16.5,10.61457,0.28,4.64,12.49,5.59,5.42,1.14,,,100.11,-0.88,-0.5919,-11.6019,-11.89,11.01
11-B-10,"Gee, L.L., Sack, R.O. (1988)",0.001,,1091.9,gl-ol-sp-Lc,40.82,2.12,17.83,10.343608,0.24,4.62,12.03,5.43,5.24,1.2,,0.05,100.12,-1.144,-0.76152,-11.43152,-11.814,10.67
11-B-11,"Gee, L.L., Sack, R.O. (1988)",0.001,,1091.9,gl-ol-sp-Lc,40.88,2,17.58,9.286634,0.22,4.96,12.12,5.52,5.82,1.4,,0.06,100.03,-1.096,-0.73068,-12.07068,-12.436,11.34
12-A-3,"Gee, L.L., Sack, R.O. (1988)",0.001,,1065,gl-cp-sp-Lc-Nph,39.99,2.01,16.53,10.802546,0.72,2.44,14.15,4.88,4.08,2.14,,0.04,98.01,-1.808,-1.18814,-10.14814,-10.768,8.96
12-B-14,"Gee, L.L., Sack, R.O. (1988)",0.001,,1065,gl-cp-sp-Lc-Nph,41.01,2,17.58,10.39457,0.5,2.31,13.1,5.4,4.39,1.82,,,98.72,-0.992,-0.66386,-10.45386,-10.782,9.79
13-A-2,"Gee, L.L., Sack, R.O. (1988)",0.001,,1090,gl-ol-cp-sp-Lc,43.13,1.94,18.17,9.226634,0.2,4,10.11,6.34,5.42,1.34,,0.01,100.07,0.704,0.42582,-11.33418,-11.056,11.76
13-A-3,"Gee, L.L., Sack, R.O. (1988)",0.001,,1090,gl-ol-cp-sp-Lc-Nph,44.37,0.9,20.9,6.040762,0.34,3.89,10.03,6.32,5.68,0.89,,,99.48,1.696,1.06318,-10.93682,-10.304,12
13-A-4,"Gee, L.L., Sack, R.O. (1988)",0.001,,1090,gl-ol-cp-sp-Lc-Nph,44.07,1.71,21.11,6.828738,0.25,3.65,9.13,6.8,5.82,0.93,,,100.43,1.456,0.90898,-11.71102,-11.164,12.62
13-A-5,"Gee, L.L., Sack, R.O. (1988)",0.001,,1090,gl-ol-cp-sp-Lc-Nph,44.76,1.04,21.41,6.200762,0.28,3.44,8.64,6.92,6.03,0.63,,0.01,99.48,2.008,1.26364,-11.68636,-10.942,12.95
13-B-7,"Gee, L.L., Sack, R.O. (1988)",0.001,,1090,gl-ol-cp-sp-Lc-Nph,44.35,0.32,20.76,6.652746,0.2,3.9,11.15,6.38,5.31,1.35,,,100.5,1.68,1.0529,-10.6371,-10.01,11.69
13-B-10,"Gee, L.L., Sack, R.O. (1988)",0.001,,1090,gl-ol-cp-sp-Lc-Nph,42.35,1.25,19.62,7.345712,0.39,4.16,11.79,5.86,5.63,1.29,,0.01,99.84,0.08,0.0249,-11.4651,-11.41,11.49
13-B-11,"Gee, L.L., Sack, R.O. (1988)",0.001,,1090,gl-ol-cp- leuc - neph,43.42,1.71,18.68,7.625692,0.27,4.17,9.65,6.57,5.83,1.48,,,99.56,0.936,0.57488,-11.82512,-11.464,12.4
14-A-7,"Gee, L.L., Sack, R.O. (1988)",0.001,,1099,gl-ol-sp-Me,39.09,2.2,15.71,10.07461,0.77,5.34,15.38,4.23,3.67,1.82,,0.02,98.5,-2.528,-1.65074,-9.55074,-10.428,7.9
14-B-12,"Gee, L.L., Sack, R.O. (1988)",0.001,,1099,gl-ol-sp-Lc-Nph,43.68,1.23,20.02,6.148758,0.32,4.34,11.6,5.77,5.99,0.68,,,99.9,1.144,0.70852,-11.05148,-10.616,11.76
SAY-7E-11,"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)",0.001,,1330,gl-ol,51.02,1.81,12.4,7.228738,0.09,10.55,9,3.51,4.14,1.13,,0.09,101.1,7.016,4.48128,-3.16872,-0.634,7.65
SAY-7E-6,"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)",0.001,,1301,gl-ol-sp,50.74,1.85,12.39,7.641724,0.11,9.29,8.37,3.54,3.83,1.16,,0.1,99.16,6.792,4.33736,-3.03264,-0.578,7.37
SAY-7E-16,"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)",0.001,,1234,gl-ol-sp,50.14,1.98,13.42,6.83469,0.11,7.42,9.66,3.73,4.26,1.5,,0.04,99.25,6.312,4.02896,-3.96104,-1.678,7.99
SAY-7E-17,"Sack, R.O., Walker, D., Carmichael, I.S.E. (1987)",0.001,,1201,gl-ol-cp-sp,50.38,2.02,14.55,6.92471,0.11,5.8,9.15,3.98,4.5,1.3,,0.02,98.88,6.504,4.15232,-4.32768,-1.976,8.48
